"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_names","who"
"1",0.659,0.678,0,-8.18,1,0.0313,0.157,6.69e-06,0.0784,0.647,106.186,"audio_features","2DnJjbjNTV9Nd5NOa1KGba","spotify:track:2DnJjbjNTV9Nd5NOa1KGba","https://api.spotify.com/v1/tracks/2DnJjbjNTV9Nd5NOa1KGba","https://api.spotify.com/v1/audio-analysis/2DnJjbjNTV9Nd5NOa1KGba",258411,4,"You're So Vain","Annie"
"2",0.737,0.757,2,-5.874,1,0.0437,0.168,1.14e-05,0.215,0.851,130.052,"audio_features","5VjVqlPfslXPqORPGk5HlH","spotify:track:5VjVqlPfslXPqORPGk5HlH","https://api.spotify.com/v1/tracks/5VjVqlPfslXPqORPGk5HlH","https://api.spotify.com/v1/audio-analysis/5VjVqlPfslXPqORPGk5HlH",149831,4,"Whatever Comes My Way","Annie"
"3",0.852,0.549,10,-7.31,0,0.317,0.0988,1.35e-06,0.122,0.666,162.027,"audio_features","01ukVTKa6DhejzNulpoG2t","spotify:track:01ukVTKa6DhejzNulpoG2t","https://api.spotify.com/v1/tracks/01ukVTKa6DhejzNulpoG2t","https://api.spotify.com/v1/audio-analysis/01ukVTKa6DhejzNulpoG2t",164613,4,"damn Right","Annie"
"4",0.573,0.683,5,-6.644,1,0.176,0.461,0,0.0935,0.817,169.519,"audio_features","0qRR9d89hIS0MHRkQ0ejxX","spotify:track:0qRR9d89hIS0MHRkQ0ejxX","https://api.spotify.com/v1/tracks/0qRR9d89hIS0MHRkQ0ejxX","https://api.spotify.com/v1/audio-analysis/0qRR9d89hIS0MHRkQ0ejxX",142787,4,"Rich Girl","Annie"
"5",0.721,0.707,6,-6.364,1,0.0595,0.181,3.68e-06,0.143,0.743,125.005,"audio_features","2aPTvyE09vUCRwVvj0I8WK","spotify:track:2aPTvyE09vUCRwVvj0I8WK","https://api.spotify.com/v1/tracks/2aPTvyE09vUCRwVvj0I8WK","https://api.spotify.com/v1/audio-analysis/2aPTvyE09vUCRwVvj0I8WK",158206,4,"Sundress","Annie"
"6",0.714,0.663,8,-5.799,1,0.0694,0.145,0,0.264,0.64,95.497,"audio_features","4DAaQ5InUO23d8yNRbB0Yj","spotify:track:4DAaQ5InUO23d8yNRbB0Yj","https://api.spotify.com/v1/tracks/4DAaQ5InUO23d8yNRbB0Yj","https://api.spotify.com/v1/audio-analysis/4DAaQ5InUO23d8yNRbB0Yj",206073,4,"6's to 9's","Annie"
"7",0.725,0.709,2,-6.514,1,0.072,0.588,0,0.135,0.353,110.024,"audio_features","0Z7nGFVCLfixWctgePsRk9","spotify:track:0Z7nGFVCLfixWctgePsRk9","https://api.spotify.com/v1/tracks/0Z7nGFVCLfixWctgePsRk9","https://api.spotify.com/v1/audio-analysis/0Z7nGFVCLfixWctgePsRk9",235636,4,"TEXAS HOLD 'EM","Annie"
"8",0.774,0.439,5,-7.612,0,0.0364,0.595,0.00127,0.109,0.661,125.085,"audio_features","2bsC6KLZ6a9v6zdoDkziBL","spotify:track:2bsC6KLZ6a9v6zdoDkziBL","https://api.spotify.com/v1/tracks/2bsC6KLZ6a9v6zdoDkziBL","https://api.spotify.com/v1/audio-analysis/2bsC6KLZ6a9v6zdoDkziBL",164627,4,"Dirty Love","Annie"
"9",0.446,0.247,11,-13.036,0,0.0287,0.905,0.233,0.111,0.245,138.328,"audio_features","4x1dWc1GgAfC04GcTlllax","spotify:track:4x1dWc1GgAfC04GcTlllax","https://api.spotify.com/v1/tracks/4x1dWc1GgAfC04GcTlllax","https://api.spotify.com/v1/audio-analysis/4x1dWc1GgAfC04GcTlllax",106250,1,"Lake Missoula","Annie"
"10",0.527,0.551,7,-11.258,1,0.0345,0.384,2.75e-06,0.403,0.443,148.035,"audio_features","3Pbp7cUCx4d3OAkZSCoNvn","spotify:track:3Pbp7cUCx4d3OAkZSCoNvn","https://api.spotify.com/v1/tracks/3Pbp7cUCx4d3OAkZSCoNvn","https://api.spotify.com/v1/audio-analysis/3Pbp7cUCx4d3OAkZSCoNvn",159636,4,"Scared To Start","Annie"
"11",0.625,0.568,11,-5.663,1,0.0324,0.288,0,0.674,0.348,85.545,"audio_features","3LNRi4UytUnez6T0hFb4x3","spotify:track:3LNRi4UytUnez6T0hFb4x3","https://api.spotify.com/v1/tracks/3LNRi4UytUnez6T0hFb4x3","https://api.spotify.com/v1/audio-analysis/3LNRi4UytUnez6T0hFb4x3",179427,3,"You","Annie"
"12",0.665,0.741,0,-3.694,1,0.0787,0.154,3.02e-05,0.345,0.57,144.968,"audio_features","1YscJ7yVTlFxW3eF6pv5ba","spotify:track:1YscJ7yVTlFxW3eF6pv5ba","https://api.spotify.com/v1/tracks/1YscJ7yVTlFxW3eF6pv5ba","https://api.spotify.com/v1/audio-analysis/1YscJ7yVTlFxW3eF6pv5ba",156893,4,"Allergic","Annie"
"13",0.889,0.646,7,-6.366,1,0.0668,0.195,3.19e-05,0.0502,0.966,110.842,"audio_features","0mLAgHQP1BOkoHhDu622BQ","spotify:track:0mLAgHQP1BOkoHhDu622BQ","https://api.spotify.com/v1/tracks/0mLAgHQP1BOkoHhDu622BQ","https://api.spotify.com/v1/audio-analysis/0mLAgHQP1BOkoHhDu622BQ",213427,4,"Get Down On It","Annie"
"14",0.733,0.67,5,-6.009,1,0.0751,0.121,0,0.121,0.472,100.964,"audio_features","0O6u0VJ46W86TxN9wgyqDj","spotify:track:0O6u0VJ46W86TxN9wgyqDj","https://api.spotify.com/v1/tracks/0O6u0VJ46W86TxN9wgyqDj","https://api.spotify.com/v1/audio-analysis/0O6u0VJ46W86TxN9wgyqDj",192841,4,"I Like You (A Happier Song) (with Doja Cat)","Annie"
"15",0.711,0.576,7,-8.784,0,0.0305,0.648,0.00226,0.0528,0.644,120.117,"audio_features","1BWsOxeMx83OrKGCV4gxly","spotify:track:1BWsOxeMx83OrKGCV4gxly","https://api.spotify.com/v1/tracks/1BWsOxeMx83OrKGCV4gxly","https://api.spotify.com/v1/audio-analysis/1BWsOxeMx83OrKGCV4gxly",178560,4,"I Feel the Earth Move","Annie"
"16",0.817,0.405,10,-13.513,0,0.0811,0.451,0.0507,0.0468,0.898,121.467,"audio_features","7MiLmLbwNoyf47xQ4TCVYp","spotify:track:7MiLmLbwNoyf47xQ4TCVYp","https://api.spotify.com/v1/tracks/7MiLmLbwNoyf47xQ4TCVYp","https://api.spotify.com/v1/audio-analysis/7MiLmLbwNoyf47xQ4TCVYp",419640,4,"Papa Was A Rollin' Stone - Single Version","Annie"
"17",0.611,0.767,7,-5.511,1,0.215,0.153,0,0.114,0.381,90.064,"audio_features","78EBZOZppjic7aild1Bc8i","spotify:track:78EBZOZppjic7aild1Bc8i","https://api.spotify.com/v1/tracks/78EBZOZppjic7aild1Bc8i","https://api.spotify.com/v1/audio-analysis/78EBZOZppjic7aild1Bc8i",244333,4,"Wonderful","Annie"
"18",0.686,0.855,11,-6.6,1,0.116,0.0252,0,0.037,0.763,176.002,"audio_features","1mVTQSGoFchL3VVrIa0MeH","spotify:track:1mVTQSGoFchL3VVrIa0MeH","https://api.spotify.com/v1/tracks/1mVTQSGoFchL3VVrIa0MeH","https://api.spotify.com/v1/audio-analysis/1mVTQSGoFchL3VVrIa0MeH",224933,4,"Millionaire (feat. André 3000)","Annie"
"19",0.814,0.639,0,-10.481,1,0.0409,0.107,0.0438,0.118,0.98,135.253,"audio_features","6hFek9A3Xz4g1vgSYJBnzV","spotify:track:6hFek9A3Xz4g1vgSYJBnzV","https://api.spotify.com/v1/tracks/6hFek9A3Xz4g1vgSYJBnzV","https://api.spotify.com/v1/audio-analysis/6hFek9A3Xz4g1vgSYJBnzV",218268,4,"Feliz, Feliz","Annie"
