"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_names","who","...1","outcome"
"1",0.87,0.362,11,-9.307,0,0.0646,0.17,0.00127,0.101,0.252,120.045,"audio_features","02VX51QXZlZcubvkm5mQGg","spotify:track:02VX51QXZlZcubvkm5mQGg","https://api.spotify.com/v1/tracks/02VX51QXZlZcubvkm5mQGg","https://api.spotify.com/v1/audio-analysis/02VX51QXZlZcubvkm5mQGg",170005,4,"Control","carly",NA,1
"2",0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,"audio_features","6usohdchdzW9oML7VC4Uhk","spotify:track:6usohdchdzW9oML7VC4Uhk","https://api.spotify.com/v1/tracks/6usohdchdzW9oML7VC4Uhk","https://api.spotify.com/v1/audio-analysis/6usohdchdzW9oML7VC4Uhk",210689,3,"Lose Control","carly",NA,1
"3",0.353,0.77,1,-11.066,0,0.0493,0.0016,0.598,0.109,0.224,145.225,"audio_features","7MSWxMumjz6lHj7oRApNbg","spotify:track:7MSWxMumjz6lHj7oRApNbg","https://api.spotify.com/v1/tracks/7MSWxMumjz6lHj7oRApNbg","https://api.spotify.com/v1/audio-analysis/7MSWxMumjz6lHj7oRApNbg",267893,4,"White Horse","carly",NA,1
"4",0.597,0.689,8,-9.18,1,0.0268,0.0308,0.0436,0.124,0.305,95.512,"audio_features","1WDfxOe0HN6NtNujMRZ498","spotify:track:1WDfxOe0HN6NtNujMRZ498","https://api.spotify.com/v1/tracks/1WDfxOe0HN6NtNujMRZ498","https://api.spotify.com/v1/audio-analysis/1WDfxOe0HN6NtNujMRZ498",164933,4,"6's to 9's - Day Wave Remix","carly",NA,1
"5",0.754,0.76,9,-6.487,1,0.0384,0.448,0.666,0.0817,0.314,121.979,"audio_features","0ymhaRjiCwNQzeQEjewE7F","spotify:track:0ymhaRjiCwNQzeQEjewE7F","https://api.spotify.com/v1/tracks/0ymhaRjiCwNQzeQEjewE7F","https://api.spotify.com/v1/audio-analysis/0ymhaRjiCwNQzeQEjewE7F",145574,4,"Restless Bones","carly",NA,1
"6",0.855,0.678,1,-6.276,1,0.189,0.0569,3.69e-05,0.412,0.852,99.029,"audio_features","6WzRpISELf3YglGAh7TXcG","spotify:track:6WzRpISELf3YglGAh7TXcG","https://api.spotify.com/v1/tracks/6WzRpISELf3YglGAh7TXcG","https://api.spotify.com/v1/audio-analysis/6WzRpISELf3YglGAh7TXcG",215467,4,"Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)","carly",NA,1
"7",0.769,0.818,6,-1.385,0,0.192,0.263,0,0.0787,0.918,88.017,"audio_features","4E5IFAXCob6QqZaJMTw5YN","spotify:track:4E5IFAXCob6QqZaJMTw5YN","https://api.spotify.com/v1/tracks/4E5IFAXCob6QqZaJMTw5YN","https://api.spotify.com/v1/audio-analysis/4E5IFAXCob6QqZaJMTw5YN",240800,4,"Poppin' Them Thangs","carly",NA,1
"8",0.578,0.299,9,-11.245,1,0.0352,0.794,0.00164,0.108,0.12,129.788,"audio_features","1SuNH8rKUtcjWJYvZ3bBGo","spotify:track:1SuNH8rKUtcjWJYvZ3bBGo","https://api.spotify.com/v1/tracks/1SuNH8rKUtcjWJYvZ3bBGo","https://api.spotify.com/v1/audio-analysis/1SuNH8rKUtcjWJYvZ3bBGo",175202,4,"Please Don't Be","carly",NA,1
"9",0.559,0.301,9,-9.066,1,0.0297,0.055,0.00979,0.101,0.177,116.123,"audio_features","5j4hSQH0KaAc8f6cimnXIT","spotify:track:5j4hSQH0KaAc8f6cimnXIT","https://api.spotify.com/v1/tracks/5j4hSQH0KaAc8f6cimnXIT","https://api.spotify.com/v1/audio-analysis/5j4hSQH0KaAc8f6cimnXIT",244333,3,"Fire Away","carly",NA,1
"10",0.375,0.709,4,-6.34,1,0.0576,0.00506,0,0.163,0.384,169.1,"audio_features","3cgf3PmzUZKLCRulrKrzZG","spotify:track:3cgf3PmzUZKLCRulrKrzZG","https://api.spotify.com/v1/tracks/3cgf3PmzUZKLCRulrKrzZG","https://api.spotify.com/v1/audio-analysis/3cgf3PmzUZKLCRulrKrzZG",247051,4,"Godlight","carly",NA,1
"11",0.653,0.398,8,-9.519,1,0.0284,0.64,0.000142,0.0944,0.438,133.037,"audio_features","37J6sYIBny0g0YJi88FPnc","spotify:track:37J6sYIBny0g0YJi88FPnc","https://api.spotify.com/v1/tracks/37J6sYIBny0g0YJi88FPnc","https://api.spotify.com/v1/audio-analysis/37J6sYIBny0g0YJi88FPnc",168065,4,"Blood Moon","carly",NA,1
